Repo,  URL,  size (KB),  intent functions,  slots,  data sink module,  sinks found
willis7/bin-schedule-skill,  https://github.com/willis7/bin-schedule-skill, 28, 1, 1,  request-promise, 1
rsatyan/alexa,  https://github.com/rsatyan/alexa, 41, 25, 1,  request, 0
ownzandy/smart-home-alexa-samsung-tv-skill,  https://github.com/ownzandy/smart-home-alexa-samsung-tv-skill, 15, 20, 1,  request, 1
sibbl/akinator-skill,  https://github.com/sibbl/akinator-skill, 46, 9, 0,  request, 5
ownzandy/smart-home-alexa-sensi-thermostat-skill,  https://github.com/ownzandy/smart-home-alexa-sensi-thermostat-skill, 11, 6, 1,  request, 1
brooksgarrett/GAFireWeather,  https://github.com/brooksgarrett/GAFireWeather, 25, 5, 1,  request, 1
omniusAnthropos/Omnius-Skill-2,  https://github.com/omniusAnthropos/Omnius-Skill-2, 23, 5, 1,  request, 6
sxs19/WagAlexaSkill,  https://github.com/sxs19/WagAlexaSkill, 30, 5, 1,  request, 1
BrightPeak/alexa-nest,  https://github.com/BrightPeak/alexa-nest, 19, 4, 1,  request, 2
Jordomav/alexa-display,  https://github.com/Jordomav/alexa-display, 20, 4, 1,  request, 3
Jordomav/alexa-itunes,  https://github.com/Jordomav/alexa-itunes, 20, 2, 1,  request, 2
NickLiffen/AlexaSkill,  https://github.com/NickLiffen/AlexaSkill, 13, 2, 1,  request, 1
omnius45467/Alexa-Joke-Skill,  https://github.com/omnius45467/Alexa-Joke-Skill, 21, 2, 1,  request, 1
omnius45467/omnius-alexa,  https://github.com/omnius45467/omnius-alexa, 109, 2, 1,  request, 4
borantaylan/alexa-getmenu-skill,  https://github.com/borantaylan/alexa-getmenu-skill, 17, 1, 1,  request, 1
deniswells59/alexa-response,  https://github.com/deniswells59/alexa-response, 13, 1, 1,  request, 0
dunnbro/Alexa---Savage-Love-prototype-code,  https://github.com/dunnbro/Alexa---Savage-Love-prototype-code, 8, 1, 1,  request, 1
huberf/mpal,  https://github.com/huberf/mpal, 9, 1, 1,  request, 1
kenibarwick/my_phone,  https://github.com/kenibarwick/my_phone, 4752, 1, 1,  request, 0
n2cholas/alexa-skill,  https://github.com/n2cholas/alexa-skill, 18, 1, 1,  request, 3
Sahilshetye/CTASkill,  https://github.com/Sahilshetye/CTASkill, 89, 1, 1,  request, 1
tollmanz/alexa-traffic,  https://github.com/tollmanz/alexa-traffic, 18, 1, 2,  request, 1
tollmanz/alexa-wunderlist,  https://github.com/tollmanz/alexa-wunderlist, 26, 1, 2,  request, 0
mseminatore/alexa-tesla,  https://github.com/mseminatore/alexa-tesla, 65, 20, 3,  n/a,  n/a
sliute/AlexaBookEvent,  https://github.com/sliute/AlexaBookEvent, 108, 18, 14,  n/a,  n/a
rickwargo/mathKata,  https://github.com/rickwargo/mathKata, 61, 15, 3,  n/a,  n/a
unityfire/alexa-ha,  https://github.com/unityfire/alexa-ha, 179, 12, 9,  n/a,  n/a
dev-dee/letterjumble,  https://github.com/dev-dee/letterjumble, 34, 10, 1,  n/a,  n/a
pepsico-ecommerce/partyplanner,  https://github.com/pepsico-ecommerce/partyplanner, 36, 10, 1,  n/a,  n/a
Atranok/alexa-skill-escape-app,  https://github.com/Atranok/alexa-skill-escape-app, 18, 9, 0,  n/a,  n/a
dale3h/alexa-smartstart,  https://github.com/dale3h/alexa-smartstart, 21, 7, 0,  n/a,  n/a
jpetrocik/alexa-mythtv,  https://github.com/jpetrocik/alexa-mythtv, 51, 7, 1,  n/a,  n/a
aaronstaves/alexa-fresh-pantry-rub,  https://github.com/aaronstaves/alexa-fresh-pantry-rub, 19, 6, 1,  n/a,  n/a
artifactdev/alexa-fahrplan-dresden,  https://github.com/artifactdev/alexa-fahrplan-dresden, 42, 6, 6,  n/a,  n/a
jacobsin/odb-alexa,  https://github.com/jacobsin/odb-alexa, 19, 6, 1,  n/a,  n/a
primaryobjects/saavyConsumer,  https://github.com/primaryobjects/saavyConsumer, 46, 6, 1,  n/a,  n/a
pYr0x/alexa-filmbewertung,  https://github.com/pYr0x/alexa-filmbewertung, 587, 6, 2,  n/a,  n/a
